1	2	3	4	5	6	7	8	9	10
C2orf15	6.423734	6.579746	6.632537	6.846348	6.320416	6.421262	6.447216	6.389158	6.374333	6.13737
KCNH8	5.905451	6.948945	6.120839	7.822695	6.030974	5.81648	5.960551	5.946193	6.044316	6.480216
SLCO6A1	6.495029	6.567309	6.222907	6.259179	6.263074	6.291584	6.501673	6.205915	6.32637	6.235274
PP2D1	5.918037	5.844498	5.832787	5.769511	5.82983	5.929721	5.892815	5.83026	5.832455	5.816847
ZNF625	6.726902	6.774588	6.740251	6.662204	6.682435	6.546669	6.503183	6.585064	6.468595	6.790803
ZNF563	6.275287	6.356836	6.193607	6.279547	6.162877	6.178837	6.085508	6.116354	6.29686	6.350661
GPRC6A	6.708739	6.603555	6.744422	6.67988	6.797581	6.695721	6.60614	6.671783	6.532826	6.683575
RAET1E	6.363975	6.327796	6.436732	6.180109	6.188698	6.902508	6.183686	6.455764	6.472982	6.202098
ZNF417	5.790207	5.854866	5.903733	5.880895	5.84887	5.868643	5.76461	5.886041	5.801064	6.003704
C8orf31	6.51596	6.130746	6.437937	6.16829	6.719711	6.093855	6.13361	6.125447	6.563683	6.338505
SIGLEC10	7.596199	7.157599	7.928134	8.729233	7.947376	7.658219	8.329052	7.637512	7.14349	7.232831
WFIKKN1	7.036344	7.049702	7.089047	7.02086	7.231324	7.076939	7.035279	7.12161	7.339268	6.98971
NXNL2	6.233394	6.061638	6.09141	6.200405	6.012338	6.215938	6.188266	6.067651	5.980527	6.024501
LINC00205	6.594747	6.530985	6.529113	6.418153	6.446918	6.433867	6.620328	6.500304	6.586192	6.503608
FBXO39	6.061203	5.995769	6.073033	6.008807	6.010076	6.009371	6.059007	5.929095	6.140167	6.149376
ZNF619	6.997463	6.682494	6.961946	6.791761	7.236965	6.841665	7.110193	6.908178	7.072038	7.09261
FAM71D	6.104792	5.875398	6.140609	5.878014	6.130659	6.018884	6.004531	6.056049	5.992809	5.972917
RAB42	7.487401	7.403213	7.848724	7.745748	7.664568	7.496512	7.714714	7.692218	7.643213	7.418682
LINC00311	6.016212	5.932441	6.1146	6.131897	6.107239	6.05572	5.949749	6.044821	6.169992	6.02374
MAGEB6	5.794654	5.875987	5.733842	5.798721	5.830346	6.000011	5.854227	5.764426	5.890001	5.842806
TCEB3C	5.956132	5.957737	6.19595	5.924439	5.684149	6.059912	5.982616	5.984297	5.981265	5.924472
CACNG6	8.565369	8.074739	8.883425	7.945019	8.788437	8.131365	8.406193	8.184033	8.881979	8.363595
IFLTD1	6.606545	6.405782	6.505488	6.339606	6.83856	6.600502	6.523743	6.701427	6.670094	6.560192
FAM123B	6.406093	6.518183	6.525037	6.382677	6.633317	6.477734	6.47054	6.561226	6.635922	6.6007
TBATA	6.502206	6.391788	6.521068	6.322941	6.575485	6.401144	6.357844	6.461638	6.4827	6.401731
EXOC3L2	7.931554	7.784054	7.972143	7.706323	8.064814	7.693439	7.909577	7.678627	8.098796	7.738195
TNFRSF13C	7.109923	7.042538	7.301202	6.974689	7.271242	7.132588	7.180711	7.059564	7.402433	7.066076
ANKRD30BP2	6.139422	6.474647	6.197078	6.281966	6.279626	6.396006	6.458939	6.321169	6.496915	6.060701
B4GALNT2	6.252941	6.283022	6.321515	6.471482	6.451548	6.390373	6.253561	6.319517	6.472496	6.312335
FMR1NB	5.732555	5.724242	5.738435	5.746262	5.700687	5.779736	5.716177	5.787742	5.750109	5.829541
GCSAML	5.996516	6.134053	6.121704	6.227511	6.258938	6.158191	6.084522	6.073767	6.020371	6.128026
MAGEB18	5.70089	5.769382	5.753109	5.801714	5.576662	5.774171	5.746601	5.724092	5.817114	5.70017
IL28A	6.248027	6.185987	6.449318	6.355724	6.702214	6.370032	6.41377	6.296063	6.42934	6.120529
IL29	6.346848	6.308166	6.289034	6.234698	6.443683	6.147771	6.225594	6.299564	6.343252	6.191002
C4orf36	6.083046	6.191237	6.171753	6.415073	6.281788	6.235883	6.319497	6.242306	6.142726	6.229137
GRK7	6.0093	6.145329	6.043909	5.961075	6.091195	5.931875	6.003221	6.045739	6.125304	6.148131
MMEL1	7.641407	6.952426	7.242168	6.914839	6.919382	6.806299	7.386958	6.849852	6.997231	6.985785
NLRP6	6.231549	6.216397	6.334316	6.245961	6.381916	6.220333	6.343652	6.264277	6.461286	6.277056
ZCCHC5	7.256144	7.258984	7.472333	7.421566	7.24534	7.377051	7.429301	7.425987	7.106951	7.420399
ATRIP	6.767049	6.598489	6.824903	6.722706	6.76668	6.997658	6.887253	6.659886	7.055529	6.758482
ZIC5	6.099369	6.193897	6.164189	6.059339	6.278624	6.036193	6.356632	6.395237	6.159001	6.139432
TEDDM1	6.162344	6.155604	6.04611	5.999257	6.189291	5.951719	6.008342	6.054211	6.222094	6.143796
LOC149373	6.519401	6.342342	6.605968	6.297414	6.457758	6.361096	6.477106	6.449293	6.474537	6.414907
CCDC27	6.648351	6.550451	6.55667	6.715109	6.771408	6.570427	6.629757	6.612306	6.664269	6.657554
C15orf26	5.936164	5.9217	5.991151	5.880019	5.972501	5.887581	5.853368	5.816446	5.85747	5.770139
C5orf17	6.150975	5.918036	6.280582	6.130595	6.173244	6.269221	6.276803	6.081448	6.136499	6.063862
LINC00208	6.459705	6.217705	6.393852	6.369155	6.582339	6.337091	6.421521	6.3857	6.471299	6.385083
ZNF645	6.404717	6.451757	6.41546	6.288202	6.5514	6.356724	6.44316	6.477975	6.793974	6.389381
SGCZ	5.957215	6.019762	6.099926	5.974574	5.640358	5.971356	5.975718	6.00984	5.978985	6.100945
WNT9B	6.247877	5.984936	6.096289	6.035409	6.386884	6.074398	6.071814	6.097744	6.314227	6.083658
LINC00471	6.024508	6.143474	5.968329	5.954245	5.915295	5.866826	6.063964	6.002331	6.013606	5.996734
LOC142937	6.425374	6.228744	6.298326	6.431336	6.821655	6.425652	6.234045	6.411582	6.480756	6.47194
C11orf65	5.87875	6.31476	6.007606	6.111442	5.908231	5.830023	6.193293	5.978087	5.931329	5.944919
OR5P2	6.381713	6.059742	6.335572	6.166704	6.165982	6.177242	6.237256	6.102007	6.25129	6.264584
DYDC1	5.818357	5.743967	5.860078	5.803319	5.962932	5.786548	5.876552	5.595511	5.752737	5.732756
IL27	6.794288	6.677932	6.791363	6.593043	6.980751	6.584237	6.684468	6.757014	6.756705	6.888533
DEFB125	6.125035	6.118514	6.130415	6.02114	6.021285	5.95531	6.01114	6.044937	6.18654	6.089665
WFDC10B	6.41467	6.270041	6.207488	6.171455	6.492279	6.369718	6.335671	6.341606	6.370598	6.352689
GPR112	6.253431	6.120379	6.092364	6.017966	6.093566	6.027379	6.064661	6.025577	6.065443	6.136806
REXO1L1	6.209123	6.127415	6.243443	6.219722	6.079141	6.131163	6.24283	6.222898	6.360133	6.101621
TAF1L	6.230236	6.559107	6.29173	6.479199	6.508065	6.375052	6.378389	6.510572	6.418158	6.2723
SMCR5	6.17017	6.113125	6.239645	6.182037	6.160898	6.130802	6.182907	6.130562	6.28835	6.117385
ZIM3	5.971871	5.930094	5.813912	5.918696	5.669444	5.956449	5.959713	5.950228	5.875568	5.997319
DAOA-AS1	5.926963	5.924624	6.051323	5.732485	5.75289	5.89491	5.870552	5.925695	5.814422	5.908545
GPR111	6.221832	6.055744	6.163223	5.947778	6.070781	6.035215	5.992819	6.10659	6.172978	6.204645
HTR3C	6.463712	6.339408	6.43692	6.495694	6.568642	6.477898	6.603649	6.616684	6.538107	6.376152
CD300LF	7.028667	7.180929	7.292418	7.874819	7.701319	7.271164	8.320572	7.385942	7.595196	6.625794
GJA10	6.489919	6.32281	6.523522	6.246837	6.652853	6.256287	6.363658	6.31323	6.45162	6.491972
GAL3ST2	6.791764	6.620377	6.7009	6.740811	6.703425	6.69014	6.818327	6.850237	7.039817	6.658105
WFDC13	5.974039	6.075833	6.037861	5.88477	5.8808	5.956211	5.85781	5.923519	5.922241	5.832597
SERPINB12	6.185473	6.267255	6.358454	6.402469	6.433341	6.247835	6.388756	6.759283	6.502843	6.139033
PGLYRP3	6.185533	6.105225	6.18149	6.020014	6.371258	6.067862	6.333586	6.161586	6.182417	6.449406
PSKH2	6.718214	6.56643	6.650974	6.564404	6.744558	6.594874	6.730856	6.74567	6.581255	6.764475
OR6W1P	6.357581	6.271649	6.328717	6.31111	6.373086	6.42295	6.371072	6.2013	6.474122	6.396916
MOGAT1	6.361603	6.438895	6.307902	6.431192	6.634912	6.543769	6.539964	6.291437	6.43221	6.454721
GPR78	6.545617	6.55528	6.640443	6.507609	6.437924	6.595178	6.539238	6.621472	6.581463	6.588672
H1FOO	6.400055	6.066454	6.315198	6.256295	6.223115	6.262518	6.26987	6.077935	6.441462	6.085111
TAAR9	6.266918	6.360824	6.395485	6.275383	6.250589	6.449235	6.380443	6.274644	6.309368	6.345172
GNRHR2	6.238859	6.182426	6.173066	6.060771	6.408265	6.07791	6.252325	6.12355	6.263766	6.257985
BRWD1-IT2	6.09298	5.976449	6.048631	6.054938	6.100495	6.007573	6.149899	5.894768	6.147414	6.059788
ASB11	5.969005	6.048871	5.93447	5.93769	6.169756	5.988885	5.898341	5.949961	5.972674	5.93929
SDR9C7	5.992817	6.088912	6.050162	5.983162	6.103695	6.055194	6.293892	6.359561	6.110453	5.991502
OR5P3	6.560746	6.42237	6.53312	6.279569	6.689453	6.422917	6.503042	6.540207	6.559686	6.497473
TRIM40	6.061534	6.173895	6.061586	6.080337	6.110381	6.112257	6.164841	6.109164	6.089811	6.053765
